Post Index,followers,upload time,Like Count,Comment Count,is Photo,is Video,hashtag,Pic Description,have_error,is_empty,Pic_have_error,Pic_is_empty
2,13000,2024-10-23T13:45:06.000Z,203,0,0,1,"Crispy fried chicken chop ,Crispy fried shrimp ,Hualien ,Hualien City ,Hualien Food ,Hualien Simple ,Hualien lunch ,Hualien Dinner ,Eat Hualien with great heart ,Picnic picnic ,Pine garden annex ,gourmet food ,Ingredients'",No Pic Description,False,False,False,True
3,12000,2024-11-02T09:12:56.000Z,6887,0,1,0,"Cause ,Stalk ,Oblinter stalk ,Mag ,memes ,Sharing ,joke ,Sneer ,funny ,Funny movie ,Humorous quotation ,change ,Lu Guangzhong ,singer ,muscle ,fitness'","2 people and the displayed text is ""Muti drawing/Ye Liqi, do you want me to engrave your heart or tombstone?""",False,False,False,False
4,18000,2024-10-17T10:00:40.000Z,703,0,0,1,"Hualien Food ,Hualien snack ,Hualien afternoon tea ,Fuxing Street Stone Cake ,Stone cake ,Eat Hualien ,Family ,Girn ,hualienfood'",No Pic Description,False,False,False,True
5,25680000,2024-11-04T14:34:20.000Z,50000,163,0,1,no hashtage,No Pic Description,False,True,False,True
6,338000,2024-11-10T09:02:34.000Z,32000,184,0,1,no hashtage,No Pic Description,False,True,False,True
7,30000,2024-11-08T10:18:17.000Z,4174,0,1,0,"lowiq01 ,lowiq01andtherhythmmakersplus ,Challenge 25 ,Hibiya No Outdoor Music Hall ,Ichikawa entertainer '","2 people, hair, hat, trench coats, tops and text images.",False,False,False,False
8,73000,2024-11-11T07:01:07.000Z,1026,0,0,1,no hashtage,No Pic Description,False,True,False,True
9,78000,2024-11-07T12:11:47.000Z,13000,0,0,1,no hashtage,No Pic Description,False,True,False,True
10,306000,2024-11-01T02:49:36.000Z,514000,205,0,1,"tiktok ,viral ,Shorts vs Tiktok ,youtubeshorts ,maikalyt '",No Pic Description,False,False,False,True
0,2245000,2024-10-18T09:47:28.000Z,1960000,0,0,1,no hashtage,No Pic Description,False,True,False,True
0,335000,2024-10-21T05:51:00.000Z,394000,149,0,1,"buttabomma ,Allearjun ,Pooja Hegde ,dance ,telugusongs ,Telugu '",No Pic Description,False,False,False,True
1,11000,2024-09-28T07:02:51.000Z,870,0,0,1,"Hualien breakfast ,Hualien Food ,Hualien Cafe ,Hualien ,Hualien breakfast ,Hualien afternoon tea '",No Pic Description,False,False,False,True
2,80000,2024-11-09T13:15:03.000Z,32000,355,0,1,"Meowgenz ,Contrast ,Dedicated ,handsome guy ,Japanese boy ,Face value ,Dog slave ,Dog ,Hound ,Dog system ,Boy ,Boy friend ,Male god ,Kota Miura ,cats ,mirakota ,Fighting system ,husband ,muscle ,Abdominal muscle ,handsome ,handsome ,japaneseboy ,koreanboys ,abs ,muscleboy ,mmafighter ,Burning Red '",No Pic Description,False,False,False,True
0,1295000,2024-10-21T05:53:16.000Z,2357000,334,0,1,"learnfromzette ,magic ,reels'",No Pic Description,False,False,False,True
0,304000,2024-09-25T15:23:30.000Z,162000,162,0,1,no hashtage,No Pic Description,False,True,False,True
1,2348000,2024-11-11T18:56:50.000Z,16000,0,1,0,"Bikoster ,MannaHero ,Table ,BKMN ,BikosManna ,& Education '",No Pic Description,False,False,True,False
2,35000,2024-11-06T13:44:48.000Z,1958,0,1,0,no hashtage,No Pic Description,False,True,True,False
3,90000,2024-11-09T14:17:34.000Z,2925,0,1,0,no hashtage,No Pic Description,False,True,True,False
4,9122,2024-10-19T15:26:40.000Z,1434,0,0,1,"Hualien ,Hualien City ,Hualien Food ,gourmet food ,Taiwanese food ,gourmet food ,Hualien Travel ,trip ,Hualien attraction ,Attraction ,Hualien Restaurant ,Dining room ,Hualien Travel ,travel ,Taiwan travel ,Taiwan attraction ,Hualien Travel ,Hualien must eat ,Must eat ,Food map ,Dinner ,family ,Couple ,student ,Donghua University ,Tzu Chi University ,Korean style ,Korean -style dish ,Small dishes'",No Pic Description,False,False,False,True
0,657000,2024-11-01T01:22:15.000Z,150000,291,0,1,no hashtage,No Pic Description,False,True,False,True
1,43000,2024-11-11T13:22:30.000Z,772,0,0,1,no hashtage,No Pic Description,False,True,False,True
2,39000,2024-10-29T12:55:57.000Z,,0,0,1,"Taipei ,Double Food ,Zhongshan Station Food ,Food recommendation ,Taipei Cafe ,Zhongshan Cafe ,Taipei Cafe ,Zhongshan Nail ,Zhongshan Meilai ,Zhongshan dessert ,Zhongshan District Dessert ,Unlimited time coffee shop ,Unlimited time ,Unlimited coffee ,Tarot ,Tarot ,Daan Food ,Daan Cafe """,No Pic Description,False,False,False,True
0,281000,2024-11-08T23:15:12.000Z,402000,299,0,1,no hashtage,No Pic Description,False,True,False,True
0,1332000,2024-10-29T00:30:08.000Z,346000,220,0,1,"fish ,fishing ,sea'",No Pic Description,False,False,False,True
1,101000,2024-11-08T10:30:37.000Z,6706,0,0,1,"Peacock Cake ,Strong peanut ,Strong strawberry ,Peacock ,Peacock Cake ,Strong peanut ,Strong strawberry be",No Pic Description,False,False,False,True
2,298000,2024-11-12T10:33:37.000Z,2666,0,0,1,"After the film ,Yan Yiwen ,Actress'",No Pic Description,False,False,False,True
3,4925,2024-11-08T05:07:11.000Z,22,0,0,1,"Family ice ,Family ,Family food ,Family limitation ,Family dessert ,Supermarket discount ,Super commercial drink ,Supermarket food ,New product ,Supermarket dessert ,Super commercial ice ,Buy one get one free ,Taichung Food ,Taipei Food ,Tainan Food ,Dessert control ,blueberry'",No Pic Description,False,False,False,True
0,930000,2024-10-26T03:58:08.000Z,,133,0,1,"love ,couple ,loveislove ,loveforever ,thoughtoftheday ,thoughts ,motivationalquotes ,explore'",No Pic Description,False,False,False,True
1,219000,2024-11-06T17:10:03.000Z,270,0,1,0,"thisisvanlifeing ,vanlifeproject ,vanlife ,vanlifer ,vanlifestyle ,vanlifediaries ,vanconversion ,vanlifemovement ,sprintervanconversion ,lifecomation ,sprintervan ,sprinterconversion ,sprintervanlife ,vanbuild ,vanlifeeurope ,campervan ,Enfurgomolam ,houseonwheels ,kitchenideas ,greenkitchen ,tinyhouse ,smallkitchen ,smallbathroom ,interior'",No Pic Description,False,False,True,False
2,4925,2024-11-11T07:14:03.000Z,46,0,0,1,"New family ,Family food ,Supermarket food ,Supermarket limit ,Supermarket dessert ,Emina ,Snack control ,Family dessert ,Family limitation ,Japanese snacks ,Family limitation ,Taiwan food ,Cheese ,Diet control ,Taichung Food ,Taoyuan Food ,Taipei Food '",No Pic Description,False,False,False,True
3,168000,2024-11-08T20:51:12.000Z,3630,0,1,0,no hashtage,No Pic Description,False,True,True,False
4,11000,2024-11-08T10:12:34.000Z,155,0,0,1,"Hualien Food ,Dudu in Hualien '",No Pic Description,False,False,False,True
5,254000,2024-09-24T13:56:33.000Z,773000,591,0,1,Vikalsen7500 ',No Pic Description,False,False,False,True
0,152000,2024-11-09T00:56:24.000Z,45000,186,0,1,no hashtage,No Pic Description,False,True,False,True
0,1305000,2024-10-16T06:57:56.000Z,13000,254,0,1,"Hotpot ,event'",No Pic Description,False,False,False,True
0,1305000,2024-11-09T06:38:29.000Z,137000,631,0,1,"TideViewing ,SafetyFirst ,qiantangrivertidalbore'",No Pic Description,False,False,False,True
5,88000,2024-10-29T14:18:55.000Z,1729000,496,0,1,"halloween ,scareprank ,scareactors ,scarepranks ,baxteravenue ,baxteravenuemorgue ,louisville'",No Pic Description,False,False,False,True
10,2510000,2024-11-06T12:56:15.000Z,84000,183,0,1,"Indian ,ram ,caloramdarbar ,instagram'",No Pic Description,False,False,False,True
20,454000,2024-10-03T15:10:58.000Z,51000,282,0,1,no hashtage,No Pic Description,False,True,False,True
21,80000,2024-11-09T13:15:03.000Z,32000,344,0,1,"Meowgenz ,Contrast ,Dedicated ,handsome guy ,Japanese boy ,Face value ,Dog slave ,Dog ,Hound ,Dog system ,Boy ,Boy friend ,Male god ,Kota Miura ,cats ,mirakota ,Fighting system ,husband ,muscle ,Abdominal muscle ,handsome ,handsome ,japaneseboy ,koreanboys ,abs ,muscleboy ,mmafighter ,Burning Red '",No Pic Description,False,False,False,True
23,158000,2024-11-12T10:28:42.000Z,52000,233,0,1,Xiaowowi rented a boyfriend ',No Pic Description,False,False,False,True
25,985000,2024-10-30T16:18:30.000Z,296000,275,0,1,"reelsexplore ,reel ,torto ,Exclusive ,motivation ,Vidamesurprenda ,Motivation Careers Police ,reel good ,motivation ,life ,reelsforyou ,motivation ,professional motivation ,motivation to lose weight ,tagify_app ,MotivationFitness ,motivation ,vity ,motivacaoetudo ,Motivation Phrases ,CONCURSERY ,maromba motivation ,MotivationTododia ,Motivacaosempre ,Motivation Studies ,vidaleve ,reel gospel ,reelspist ,valitymaenaefacil '",No Pic Description,False,False,False,True
26,518000,2024-11-09T12:07:57.000Z,18000,159,1,0,no hashtage,1 person and text image.,False,True,False,False
27,1305000,2024-11-09T06:38:29.000Z,137000,839,0,1,"TideViewing ,SafetyFirst ,qiantangrivertidalbore'",No Pic Description,False,False,False,True
32,88000,2024-10-29T14:18:55.000Z,1729000,718,0,1,"halloween ,scareprank ,scareactors ,scarepranks ,baxteravenue ,baxteravenuemorgue ,louisville'",No Pic Description,False,False,False,True
47,454000,2024-10-03T15:10:58.000Z,51000,477,0,1,no hashtage,No Pic Description,False,True,False,True
50,158000,2024-11-12T10:28:42.000Z,52000,440,0,1,Xiaowowi rented a boyfriend ',No Pic Description,False,False,False,True
52,985000,2024-10-30T16:18:30.000Z,296000,573,0,1,"reelsexplore ,reel ,torto ,Exclusive ,motivation ,Vidamesurprenda ,Motivation Careers Police ,reel good ,motivation ,life ,reelsforyou ,motivation ,professional motivation ,motivation to lose weight ,tagify_app ,MotivationFitness ,motivation ,vity ,motivacaoetudo ,Motivation Phrases ,CONCURSERY ,maromba motivation ,MotivationTododia ,Motivacaosempre ,Motivation Studies ,vidaleve ,reel gospel ,reelspist ,valitymaenaefacil '",No Pic Description,False,False,False,True
54,1305000,2024-11-09T06:38:29.000Z,137000,1019,0,1,"TideViewing ,SafetyFirst ,qiantangrivertidalbore'",No Pic Description,False,False,False,True
59,88000,2024-10-29T14:18:55.000Z,1729000,896,0,1,"halloween ,scareprank ,scareactors ,scarepranks ,baxteravenue ,baxteravenuemorgue ,louisville'",No Pic Description,False,False,False,True
74,454000,2024-10-03T15:10:58.000Z,51000,793,0,1,no hashtage,No Pic Description,False,True,False,True
79,985000,2024-10-30T16:18:30.000Z,296000,853,0,1,"reelsexplore ,reel ,torto ,Exclusive ,motivation ,Vidamesurprenda ,Motivation Careers Police ,reel good ,motivation ,life ,reelsforyou ,motivation ,professional motivation ,motivation to lose weight ,tagify_app ,MotivationFitness ,motivation ,vity ,motivacaoetudo ,Motivation Phrases ,CONCURSERY ,maromba motivation ,MotivationTododia ,Motivacaosempre ,Motivation Studies ,vidaleve ,reel gospel ,reelspist ,valitymaenaefacil '",No Pic Description,False,False,False,True
81,1305000,2024-11-09T06:38:29.000Z,137000,1258,0,1,"TideViewing ,SafetyFirst ,qiantangrivertidalbore'",No Pic Description,False,False,False,True
87,3466000,2024-10-06T15:30:01.000Z,951000,1802,0,1,"mechanic ,job ,mechaniclife ,mechanical ,mechanicproblems ,solve ,problem ,ideas ,newtech ,newtechnology ,thebest ,satisfyingvideo ,nextlevel ,techworld ,Socignification ,amazing ,techlover ,jobdone ,innovation ,skill ,machines ,gadgets ,ilovemyjob ,omgrobots ,diy ,jcb ,progress ,engineeringmarvel ,tools ,heavymachines'",No Pic Description,False,False,False,True
88,302000,2024-11-10T05:58:06.000Z,15000,148,1,0,no hashtage,"1 person, blonde, beauty, dress and text images.",False,True,False,False
92,657000,2024-10-20T15:22:00.000Z,69000,169,0,1,no hashtage,No Pic Description,False,True,False,True
97,766000,2024-11-02T23:19:15.000Z,72000,230,0,1,"mermaid ,siren'",No Pic Description,False,False,False,True
0,461000,2024-10-25T03:35:20.000Z,236000,186,0,1,"animals ,animal ,nice ,life ,life ,schön ,Foreau ,fyp ,Life ,Attempt ,animals'",No Pic Description,False,False,False,True
1,471000,2024-11-08T12:05:05.000Z,21000,246,0,1,no hashtage,No Pic Description,False,True,False,True
2,14000,2024-11-04T10:15:00.000Z,387,0,1,0,no hashtage,No Pic Description,False,True,True,False
0,428000,2024-11-06T15:38:17.000Z,2361000,2180,0,1,"momlife ,mom blogger ,Momhack ,First Time Mom ,MOMSOFINSTAGRAM ,toddlerm ,baby hack ,babiesofinstagram ,toddlermomhack ,BabySafety '",No Pic Description,False,False,False,True
1,787000,2024-11-05T15:01:43.000Z,7555,129,1,0,Male words',"1 person, hair, Paul tie and text image.",False,False,False,False
2,36000,2024-10-22T10:17:22.000Z,286,1,0,1,"Pre -sale ticket ,On -site ticket ,Spring rin ,Chunlang Music Festival ,Taichung ,Hiroyuki Akiyama ,Be a guy into the mountains and autumn ,Spring Nami 19 ,camping ,Music Festival '",No Pic Description,False,False,False,True
3,4925,2024-11-11T04:34:28.000Z,31,0,0,1,"Fresh milk yogurt ,Greece ,Yogurt ,French top fruit jam ,Yogurt Ice Cream ,Low calorie ,Low -card dessert ,Diet control ,Slimming meal ,Fat -reducing ,Chocolate ,Low calories ,Reduce fat ,yogurt ,Xuefang Yogeng ,Group purchase ,Diet ,Healthy weight loss ,Weight loss ,oat ,Garden ,All -unified food ,Yogurt ,Health meal ,Xiaohongshu dessert '",No Pic Description,False,False,False,True
4,3440000,2024-11-13T01:07:01.000Z,22000,170,1,0,no hashtage,"4 images of people, crowds and concerts.",False,True,False,False
5,852000,2024-10-25T12:57:10.000Z,224000,710,0,1,"differentscenery ,magicalnature ,raretosee ,wonderfulview ,desert'",No Pic Description,False,False,False,True
6,5760000,2024-11-12T18:00:06.000Z,39000,146,0,1,no hashtage,No Pic Description,False,True,False,True
7,5862,2024-10-10T02:40:00.000Z,,3,0,1,"Taipei ,Taipei Food ,Taipei Cafe ,Taipei dessert ,Taipei afternoon tea ,Taipei Restaurant ,Mansion ,Mansion Food ,Business district ,Mansion station ,Museum Cafe ,Zhongzheng District ,Zhongzheng District Food ,Attraction ,travel ,Tourist attraction ,Taipei Travel ,Taipei attraction ,taipei ,taipeifood ,taipeitravel ,taipeifoodie ,taipei ,taipeieats ,taipeicoffee'",No Pic Description,False,False,False,True
8,57000,2024-11-09T12:05:47.000Z,1,4,1,0,no hashtage,"1 person, horn buckle coat, long coat, fur, beret, hooded trench coat and mini skirt.",False,True,False,False
9,28000,2024-11-11T10:39:04.000Z,1944,12,1,0,"Just leave ,Soul with a road ,Soul with a road ,The sky is shore ,Appendent street ,HaveAGoodNight'",No Pic Description,False,False,True,False
10,1179000,2024-10-11T22:32:06.000Z,197000,365,0,1,"Reyvaqueiro ,pricilasenna ,Because Naovolta ,clipsvideo '",No Pic Description,False,False,False,True
11,19000,2024-11-06T15:50:33.000Z,1911,42,1,0,"ootd ,dailylook ,Daily ,Japanese wear ,Daily wear ,Diary ,Japanese women's clothing '","1 image of 1 person, glasses and horn buckle coats.",False,False,False,False
12,88000,2024-11-10T09:57:42.000Z,341,39,1,0,"KesfetPlatform01 ,Medyareclam01 ,November 10 ,A101GANMETS ,bimaktuel ,Indyriml ,It was the street ,Duatia ,social media ,domestic ,wedding ,design ,food ,Annebebek ,canimoglum ,SKINTING OUR SKIN ,bodrum ,Foça ,Selcuk ,shoe ,writer ,Balcony decoration '",The image of the text.,False,False,False,False
13,250000,2024-10-21T11:44:31.000Z,90000,415,0,1,hunter',No Pic Description,False,False,False,True
14,1459000,2024-11-12T11:01:11.000Z,10000,10,1,0,no hashtage,"2 images of people, red heart and text.",False,True,False,False
15,570000,2024-11-10T15:58:50.000Z,6345,146,0,1,"viralreels ,instagood '",No Pic Description,False,False,False,True
16,7933,2024-10-31T11:14:15.000Z,38000,27,0,1,"winter ,winteraespa ,aespa ,aespawinter ,Spa ,Winter ,smeniorinment ,viral ,xhuong ,whiplash'",No Pic Description,False,False,False,True
17,399000,2024-10-11T09:34:04.000Z,37000,176,0,1,no hashtage,No Pic Description,False,True,False,True
18,740000,2024-10-22T07:39:43.000Z,23000,137,0,1,no hashtage,No Pic Description,False,True,False,True
19,55000,2024-10-06T09:26:28.000Z,13000,117,0,1,"reels ,trendingreels ,viralreels ,instagram ,instagood ,music ,love ,sadsongs ,nowtrending ,instalike ,instamood",No Pic Description,True,False,False,True
20,364000,2024-10-23T20:34:44.000Z,1506,99,1,0,no hashtage,No Pic Description,False,True,True,False
21,480000,2024-11-09T08:00:00.000Z,4283,29,1,0,Yoshida Einen,"1 person, beauty, camera and text images.",True,False,False,False
22,103000,2024-11-06T07:45:24.000Z,1791,21,0,1,no hashtage,No Pic Description,True,True,False,True
23,41000,2024-11-07T13:40:49.000Z,49000,72,0,1,no hashtage,No Pic Description,True,True,False,True
24,1187000,2024-11-02T19:00:41.000Z,339000,1267,0,1,no hashtage,No Pic Description,True,True,False,True
25,41000,2024-11-09T01:28:01.000Z,770,1,1,0,no hashtage,"1 person, hair, comb, hair dryer, iron, carpet and cricket image.",True,True,False,False
26,594000,2024-11-06T14:41:26.000Z,35000,71,1,0,no hashtage,No Pic Description,True,True,True,False
27,46000,2024-11-07T03:27:07.000Z,73000,260,0,1,no hashtage,No Pic Description,False,True,False,True
28,19000,2024-10-26T16:22:48.000Z,235,8,1,0,"cured ,ahmedabad ,gujugotada ,ahmedabad_instagram ,Gujarat ,Gujus ,kathiyawadi ,gujjugram ,Chel 6 Cabilo ,gujjujalso ,Navasari ,Gunjantangs ,Mehsana ,bhuro ,shout ,shoutouter ,sayings ,botad ,Gunjantangs ,Gujugotada ,mahesana ,kathiyawadi ,mincessing ,gujrati ,Gujarat ,Gujus ,kutch ,Kathiawadi ,gujjugram ,tg ,Chel 6 Cabilo ,otheryouphotography ,Navsari '",The image of the text.,True,False,False,False
29,413000,2024-10-27T13:49:23.000Z,30000,316,0,1,no hashtage,No Pic Description,False,True,False,True
30,132000,2024-11-07T11:19:27.000Z,885,6,1,0,no hashtage,"1 image of people, hair, beauty and high -necked tops.",True,True,False,False
31,14000,2024-10-22T13:29:30.000Z,2,5,0,1,Thunder Love,No Pic Description,True,False,False,True
32,29000,2024-11-11T23:06:39.000Z,1988,38,1,0,Cinnamolol ',"Images of tofu, boiled eggs and text.",True,False,False,False
33,57000,2024-10-22T13:40:41.000Z,1684,2,1,0,"InstagramStrategy ,DigitalMarketing ,ContentCreation ,ReelsMarketing ,InfluencerMarketing ,BrandStrategy",No Pic Description,True,False,True,False
34,4023000,2024-10-05T01:01:37.000Z,264000,248,0,1,no hashtage,No Pic Description,False,True,False,True
35,6010,2024-11-07T11:00:30.000Z,75,0,1,0,no hashtage,No Pic Description,True,True,True,False
36,89000,2024-11-09T17:50:13.000Z,3190,32,0,1,You are you ',No Pic Description,True,False,False,True
37,386000,2024-11-12T03:18:00.000Z,202,19,1,0,no hashtage,Images of Japanese food / monthly food and text.,False,True,False,False
38,20000,2024-10-18T12:50:23.000Z,733,0,1,0,"bar ,Food culture '",No Pic Description,True,False,True,False
39,507000,2024-10-20T06:56:50.000Z,1036000,641,0,1,no hashtage,No Pic Description,False,True,False,True
40,28000,2024-11-08T10:30:06.000Z,3097,39,1,0,no hashtage,1 person and text image.,False,True,False,False
41,103000,2024-11-07T23:33:45.000Z,2738,15,1,0,"dinner ,Calories ,Double 11 ,Nourishment ,Taichung ,parents",The image of the text.,True,False,False,False
42,17000,2024-10-11T11:00:53.000Z,2062,15,0,1,Songshan District ',No Pic Description,True,False,False,True
43,364000,2024-10-23T20:34:44.000Z,1505,99,1,0,no hashtage,No Pic Description,False,True,True,False
44,458000,2024-09-21T09:30:00.000Z,126000,142,0,1,"village ,praiadosanjos ,the fish '",No Pic Description,False,False,False,True
45,451000,2024-10-19T01:01:22.000Z,1724,33,0,1,"shark ,sharkfishing",No Pic Description,True,False,False,True
46,480000,2024-11-11T08:01:34.000Z,1035,1,1,0,"Ryotaro Kawaguchi ,Nishiyama Yoshiro ,Moe Hirao",No Pic Description,True,False,True,False
47,41000,2024-11-11T03:50:26.000Z,463,1,1,0,no hashtage,Illustration of fish and text.,False,True,False,False
48,159000,2024-11-08T10:27:57.000Z,988,0,1,0,no hashtage,No Pic Description,True,True,True,False
49,16940000,2024-11-08T05:34:53.000Z,4,235,0,1,FallonTonight',No Pic Description,False,False,False,True
50,152000,2024-11-04T12:18:48.000Z,236000,273,0,1,no hashtage,No Pic Description,False,True,False,True
51,27000,2024-11-08T11:41:03.000Z,326000,207,0,1,fyp ',No Pic Description,False,False,False,True
52,1478000,2024-11-09T19:45:29.000Z,28000,1228,0,1,no hashtage,No Pic Description,False,True,False,True
53,52270000,2024-10-23T20:29:56.000Z,900000,558,0,1,no hashtage,No Pic Description,False,True,False,True
54,103000,2024-11-13T08:21:33.000Z,1446,59,1,0,"Day 6 ,Day Six ,DAY6_3RD_WORLDTOUR ,FOREVER_YOUNG ,LiveNationTaiwan'",No Pic Description,False,False,True,False
55,20000,2024-10-28T09:26:41.000Z,112,0,0,1,"Long hair ,Medium -long hair perm ,Taipei perm ,Boys medium hair ,Transform ,Bombing ,Natural volume ,Boys perm ,Japanese perm '",No Pic Description,False,False,False,True
56,434000,2024-10-18T10:34:41.000Z,629,9,1,0,no hashtage,No Pic Description,False,True,False,True
57,35000,2024-10-24T10:52:01.000Z,228,5,1,0,no hashtage,No Pic Description,False,True,True,False
58,2106000,2024-11-07T10:48:52.000Z,153000,391,0,1,"Xinjiang ,gourmetfood ,interesting ,Chinatravel'",No Pic Description,False,False,False,True
59,164000,2024-11-13T09:49:19.000Z,2,64,0,1,no hashtage,No Pic Description,False,True,False,True
60,4594000,2024-11-10T16:30:07.000Z,28000,192,1,0,no hashtage,No Pic Description,False,True,True,False
61,718000,2024-11-10T14:45:14.000Z,303,7,1,0,no hashtage,No Pic Description,False,True,True,False
62,6203,2024-10-24T07:51:13.000Z,753,39,1,0,"motivation ,TeamAlpha ,alphamovement ,believeinyourself ,fitnessinspirations ,inspireothers ,gyminspiration ,gymlife ,gymmotivation ,gymgains ,workoutmotivation ,weighttraining ,weightlifting ,fitness ,fitnessinspirations ,fitfam ,Companion ,gym ,musclebuilding ,leanmuscle ,inspire ,inspiration ,inspirational ,motivate ,influence ,positivity '",No Pic Description,False,False,True,False
63,7865000,2024-11-04T06:30:55.000Z,118000,501,0,1,no hashtage,No Pic Description,False,True,False,True
64,169000,2024-10-26T17:03:04.000Z,32000,101,0,1,"trending ,viralreels ,reelsinstagram ,happiness ,instagood ,instadaily ,instalike ,diwalistatus ,diwalivibes ,diwali ,baitoj ,HAPPYBHAOJJJ ,dhateras ,Happy ,Happy ,Govardhan Puja ,happygowardhanpuja ,diwalistyle ,diwaliliteoffestivels ,happy ,festival ,trending ,reels'",No Pic Description,False,False,False,True
65,524000,2024-11-07T12:47:13.000Z,6437,68,1,0,no hashtage,No Pic Description,False,True,True,False
66,11000,2024-10-04T08:41:47.000Z,67,0,1,0,no hashtage,"Watermelon, grapefruit, grapefruit, melon and text images.",False,True,False,False
67,764000,2024-10-22T06:09:51.000Z,436,11,1,0,no hashtage,No Pic Description,False,True,True,False
68,68000,2024-11-08T10:21:10.000Z,304000,488,0,1,"fyp ,funny ,funnyvideos ,reel ,trending ,viral ,challenge ,comedy'",No Pic Description,False,False,False,True
69,136000,2024-10-18T05:17:50.000Z,31000,145,0,1,no hashtage,No Pic Description,False,True,False,True
70,3466000,2024-11-04T17:43:40.000Z,66000,234,0,1,"moviescenes ,movies ,movielines ,movie ,movieaddict ,films ,movielovers ,thesolace ,moviescene ,moviequotes ,tvshow ,movie laws ,movieworld ,movietime ,cinema ,hollywood ,movie buff ,moviefacts ,cinematography ,movienight ,quotes ,tvseries ,moviestar ,Film maker ,quotesdaily ,quotesforyou ,quotestoremember ,filmphotography'",No Pic Description,True,False,False,True
71,13000,2024-11-11T16:16:45.000Z,199,5,0,1,"Taichung Food ,Taichung New opening ,Taichung New Store ,Taichung New Store Report ,Taichung kiln roasted pizza ,Kiln grilled pizza ,Principles ,Pizza ,Napoli ,Napo Pizza ,Napoli ,Napo Pizza ,Taichung Food Recommendation ,Taichung Food Map ,Taichung North District ,Taichung North District Food ,North District Food ,Uncle Kiln Baked Pizza ,pizza ,pizzeria ,Qiu Duo Coffee ,似 颜 颜 ,Taichung Cafe ,Linyu North District eats and eats ,Lin Yan has been eating '",No Pic Description,True,False,False,True
72,49000,2024-11-11T11:30:00.000Z,79,0,1,0,"alwaysgood ,Overwind",No Pic Description,True,False,True,False
73,14000,2024-10-22T03:26:39.000Z,350,0,1,0,no hashtage,"Four people, Fushimi Inari, Tokyo Tower and text images.",False,True,False,False
74,26000,2024-11-07T12:00:00.000Z,1176,27,1,0,no hashtage,No Pic Description,False,True,True,False
75,136000,2024-11-08T18:43:04.000Z,25000,192,0,1,no hashtage,No Pic Description,False,True,False,True
76,2106000,2024-10-29T12:34:54.000Z,9150,182,0,1,"shock ,wasp'",No Pic Description,False,False,False,True
