Post Index,followers,upload time,Like Count,Comment Count,is Photo,is Video,hashtag,Pic Description,days_diff,have_error,is_empty
1,2348000,2024-11-11 18:56:50,16000,0,1,0,"Bikoster ,MannaHero ,Table ,BKMN ,BikosManna ,& Education '",1 人的圖像.,13.0,False,False
2,35000,2024-11-06 13:44:48,1958,0,1,0,no hashtage,1 人的圖像.,18.0,False,True
3,90000,2024-11-09 14:17:34,2925,0,1,0,no hashtage,1 人、機能運動服飾、運動褲、無袖背心、運動服裝和文字的圖像.,15.0,False,True
4,9122,2024-10-19 15:26:40,1434,0,0,1,"Hualien ,Hualien City ,Hualien Food ,gourmet food ,Taiwanese food ,gourmet food ,Hualien Travel ,trip ,Hualien attraction ,Attraction ,Hualien Restaurant ,Dining room ,Hualien Travel ,travel ,Taiwan travel ,Taiwan attraction ,Hualien Travel ,Hualien must eat ,Must eat ,Food map ,Dinner ,family ,Couple ,student ,Donghua University ,Tzu Chi University ,Korean style ,Korean -style dish ,Small dishes'",,36.0,False,False
0,657000,2024-11-01 01:22:15,150000,291,0,1,no hashtage,,23.0,False,True
1,43000,2024-11-11 13:22:30,772,0,0,1,no hashtage,,13.0,False,True
2,39000,2024-10-29 12:55:57,,0,0,1,"Taipei ,Double Food ,Zhongshan Station Food ,Food recommendation ,Taipei Cafe ,Zhongshan Cafe ,Taipei Cafe ,Zhongshan Nail ,Zhongshan Meilai ,Zhongshan dessert ,Zhongshan District Dessert ,Unlimited time coffee shop ,Unlimited time ,Unlimited coffee ,Tarot ,Tarot ,Daan Food ,Daan Cafe """,,26.0,False,False
0,281000,2024-11-08 23:15:12,402000,299,0,1,no hashtage,,16.0,False,True
0,1332000,2024-10-29 00:30:08,346000,220,0,1,"fish ,fishing ,sea'",,26.0,False,False
1,101000,2024-11-08 10:30:37,6706,0,0,1,"Peacock Cake ,Strong peanut ,Strong strawberry ,Peacock ,Peacock Cake ,Strong peanut ,Strong strawberry be",,16.0,False,False
2,298000,2024-11-12 10:33:37,2666,0,0,1,"After the film ,Yan Yiwen ,Actress'",,12.0,False,False
3,4925,2024-11-08 05:07:11,22,0,0,1,"Family ice ,Family ,Family food ,Family limitation ,Family dessert ,Supermarket discount ,Super commercial drink ,Supermarket food ,New product ,Supermarket dessert ,Super commercial ice ,Buy one get one free ,Taichung Food ,Taipei Food ,Tainan Food ,Dessert control ,blueberry'",,16.0,False,False
0,930000,2024-10-26 03:58:08,,133,0,1,"love ,couple ,loveislove ,loveforever ,thoughtoftheday ,thoughts ,motivationalquotes ,explore'",,29.0,False,False
1,219000,2024-11-06 17:10:03,270,0,1,0,"thisisvanlifeing ,vanlifeproject ,vanlife ,vanlifer ,vanlifestyle ,vanlifediaries ,vanconversion ,vanlifemovement ,sprintervanconversion ,lifecomation ,sprintervan ,sprinterconversion ,sprintervanlife ,vanbuild ,vanlifeeurope ,campervan ,Enfurgomolam ,houseonwheels ,kitchenideas ,greenkitchen ,tinyhouse ,smallkitchen ,smallbathroom ,interior'",廂型車、公車和船屋的圖像.,18.0,False,False
2,4925,2024-11-11 07:14:03,46,0,0,1,"New family ,Family food ,Supermarket food ,Supermarket limit ,Supermarket dessert ,Emina ,Snack control ,Family dessert ,Family limitation ,Japanese snacks ,Family limitation ,Taiwan food ,Cheese ,Diet control ,Taichung Food ,Taoyuan Food ,Taipei Food '",,13.0,False,False
3,168000,2024-11-08 20:51:12,3630,0,1,0,no hashtage,1 人、吉他和文字的圖像.,16.0,False,True
4,11000,2024-11-08 10:12:34,155,0,0,1,"Hualien Food ,Dudu in Hualien '",,16.0,False,False
5,254000,2024-09-24 13:56:33,773000,591,0,1,Vikalsen7500 ',,61.0,False,False
0,152000,2024-11-09 00:56:24,45000,186,0,1,no hashtage,,15.0,False,True
0,1305000,2024-10-16 06:57:56,13000,254,0,1,"Hotpot ,event'",,39.0,False,False
0,1305000,2024-11-09 06:38:29,137000,631,0,1,"TideViewing ,SafetyFirst ,qiantangrivertidalbore'",,15.0,False,False
5,88000,2024-10-29 14:18:55,1729000,496,0,1,"halloween ,scareprank ,scareactors ,scarepranks ,baxteravenue ,baxteravenuemorgue ,louisville'",,26.0,False,False
10,2510000,2024-11-06 12:56:15,84000,183,0,1,"Indian ,ram ,caloramdarbar ,instagram'",,18.0,False,False
20,454000,2024-10-03 15:10:58,51000,282,0,1,no hashtage,,52.0,False,True
21,80000,2024-11-09 13:15:03,32000,344,0,1,"Meowgenz ,Contrast ,Dedicated ,handsome guy ,Japanese boy ,Face value ,Dog slave ,Dog ,Hound ,Dog system ,Boy ,Boy friend ,Male god ,Kota Miura ,cats ,mirakota ,Fighting system ,husband ,muscle ,Abdominal muscle ,handsome ,handsome ,japaneseboy ,koreanboys ,abs ,muscleboy ,mmafighter ,Burning Red '",,15.0,False,False
23,158000,2024-11-12 10:28:42,52000,233,0,1,Xiaowowi rented a boyfriend ',,12.0,False,False
25,985000,2024-10-30 16:18:30,296000,275,0,1,"reelsexplore ,reel ,torto ,Exclusive ,motivation ,Vidamesurprenda ,PSYMOCARRIERS ,reel good ,motivation ,life ,reelsforyou ,motivation ,PROFESSIONAL MOTIVATION ,motivation for the ,tagify_app ,MotivationFitness ,motivation ,vity ,motivacaoetudo ,phrasesmotivation ,CONCURSERY ,motivation and ,MotivationTododia ,Motivacaosempre ,MotivationStudos ,vidaleve ,reel gospel ,reelspist ,valitymaenaefacil '",,25.0,False,False
26,518000,2024-11-09 12:07:57,18000,159,1,0,no hashtage,1 人和文字的圖像.,15.0,False,True
27,1305000,2024-11-09 06:38:29,137000,839,0,1,"TideViewing ,SafetyFirst ,qiantangrivertidalbore'",,15.0,False,False
32,88000,2024-10-29 14:18:55,1729000,718,0,1,"halloween ,scareprank ,scareactors ,scarepranks ,baxteravenue ,baxteravenuemorgue ,louisville'",,26.0,False,False
47,454000,2024-10-03 15:10:58,51000,477,0,1,no hashtage,,52.0,False,True
50,158000,2024-11-12 10:28:42,52000,440,0,1,Xiaowowi rented a boyfriend ',,12.0,False,False
52,985000,2024-10-30 16:18:30,296000,573,0,1,"reelsexplore ,reel ,torto ,Exclusive ,motivation ,Vidamesurprenda ,PSYMOCARRIERS ,reel good ,motivation ,life ,reelsforyou ,motivation ,PROFESSIONAL MOTIVATION ,motivation for the ,tagify_app ,MotivationFitness ,motivation ,vity ,motivacaoetudo ,phrasesmotivation ,CONCURSERY ,motivation and ,MotivationTododia ,Motivacaosempre ,MotivationStudos ,vidaleve ,reel gospel ,reelspist ,valitymaenaefacil '",,25.0,False,False
54,1305000,2024-11-09 06:38:29,137000,1019,0,1,"TideViewing ,SafetyFirst ,qiantangrivertidalbore'",,15.0,False,False
59,88000,2024-10-29 14:18:55,1729000,896,0,1,"halloween ,scareprank ,scareactors ,scarepranks ,baxteravenue ,baxteravenuemorgue ,louisville'",,26.0,False,False
74,454000,2024-10-03 15:10:58,51000,793,0,1,no hashtage,,52.0,False,True
79,985000,2024-10-30 16:18:30,296000,853,0,1,"reelsexplore ,reel ,torto ,Exclusive ,motivation ,Vidamesurprenda ,PSYMOCARRIERS ,reel good ,motivation ,life ,reelsforyou ,motivation ,PROFESSIONAL MOTIVATION ,motivation for the ,tagify_app ,MotivationFitness ,motivation ,vity ,motivacaoetudo ,phrasesmotivation ,CONCURSERY ,motivation and ,MotivationTododia ,Motivacaosempre ,MotivationStudos ,vidaleve ,reel gospel ,reelspist ,valitymaenaefacil '",,25.0,False,False
81,1305000,2024-11-09 06:38:29,137000,1258,0,1,"TideViewing ,SafetyFirst ,qiantangrivertidalbore'",,15.0,False,False
87,3466000,2024-10-06 15:30:01,951000,1802,0,1,"mechanic ,job ,mechaniclife ,mechanical ,mechanicproblems ,solve ,problem ,ideas ,newtech ,newtechnology ,thebest ,satisfyingvideo ,nextlevel ,techworld ,Socignification ,amazing ,techlover ,jobdone ,innovation ,skill ,machines ,gadgets ,ilovemyjob ,omgrobots ,diy ,jcb ,progress ,engineeringmarvel ,tools ,heavymachines'",,49.0,False,False
88,302000,2024-11-10 05:58:06,15000,148,1,0,no hashtage,1 人、金髮、美妝、洋裝和文字的圖像.,14.0,False,True
92,657000,2024-10-20 15:22:00,69000,169,0,1,no hashtage,,35.0,False,True
97,766000,2024-11-02 23:19:15,72000,230,0,1,"mermaid ,siren'",,22.0,False,False
0,461000,2024-10-25 03:35:20,236000,186,0,1,"animals ,animal ,nice ,life ,life ,schön ,Foreau ,fyp ,Life ,Attempt ,animals'",,30.0,False,False
1,471000,2024-11-08 12:05:05,21000,246,0,1,no hashtage,,16.0,False,True
2,14000,2024-11-04 10:15:00,387,0,1,0,no hashtage,1 人、音樂會和文字的圖像.,20.0,False,True
0,428000,2024-11-06 15:38:17,2361000,2180,0,1,"momlife ,mom blogger ,Momhack ,First Time Mom ,MOMSOFINSTAGRAM ,toddlerm ,baby hack ,babiesofinstagram ,toddlermomhack ,BabySafety '",,18.0,False,False
1,787000,2024-11-05 15:01:43,7555,129,1,0,Male words',1 人、毛髮、保羅領帶和文字的圖像.,19.0,False,False
2,36000,2024-10-22 10:17:22,286,1,0,1,"Pre -sale ticket ,On -site ticket ,Spring rin ,Chunlang Music Festival ,Taichung ,Hiroyuki Akiyama ,Be a guy into the mountains and autumn ,Music Festival '",,33.0,True,False
3,4925,2024-11-11 04:34:28,31,0,0,1,"Fresh milk yogurt ,Greece ,Yogurt ,French top fruit jam ,Yogurt Ice Cream ,Low -card dessert ,Diet control ,Slimming meal ,Chocolate ,Low calories ,Reduce fat ,yogurt ,Xuefang Yogeng ,Weight loss ,Garden ,All -Lianlian Food ,Health meal ,Xiaohongshu dessert '",,13.0,True,False
4,3440000,2024-11-13 01:07:01,22000,170,1,0,no hashtage,4 個人、人群和音樂會的圖像.,11.0,False,True
5,852000,2024-10-25 12:57:10,224000,710,0,1,"differentscenery ,magicalnature ,raretosee ,wonderfulview ,desert'",,30.0,False,False
6,5760000,2024-11-12 18:00:06,39000,146,0,1,no hashtage,,12.0,False,True
7,5862,2024-10-10 02:40:00,,3,0,1,"Taipei ,Taipei Food ,Taipei Cafe ,Taipei dessert ,Taipei afternoon tea ,Taipei Restaurant ,Mansion ,Mansion Food ,Business district ,Mansion station ,Zhongzheng District ,Zhongzheng District Food ,travel ,Tourist attraction ,Taipei Travel ,Taipei attraction ,taipei ,taipeifood ,taipeitravel ,taipeifoodie ,taipei ,taipeieats ,taipeicoffee'",,45.0,True,False
8,57000,2024-11-09 12:05:47,1,4,1,0,no hashtage,1 人、牛角扣大衣、長大衣、皮草、貝雷帽、連帽風衣和迷你裙的圖像.,15.0,False,True
9,28000,2024-11-11 10:39:04,1944,12,1,0,"Just leave ,Soul with a road ,Soul with a road ,Appendent street ,HaveAGoodNight'",2 個人和鏡子的自拍照.,13.0,True,False
10,1179000,2024-10-11 22:32:06,197000,365,0,1,"Reyvaqueiro ,pricilasenna ,Because Naovolta ,clipsvideo '",,44.0,False,False
11,19000,2024-11-06 15:50:33,1911,42,1,0,"ootd ,dailylook ,Daily ,Japanese wear ,Daily wear ,Diary ,Japanese women's clothing '",1 人、眼鏡和牛角扣大衣的圖像.,18.0,False,False
12,88000,2024-11-10 09:57:42,341,39,1,0,"KesfetPlatform01 ,Medyeklam01 ,10 ,A101GANMETS ,bimaktuel ,Indyriml ,It was the street ,Duatia ,Socialmedia ,domestic ,wedding ,design ,food ,Annebebek ,canimoglum ,SKINTING OUR SKIN ,bodrum ,Foça ,Selcuk ,shoe ,yazar",文字的圖像.,14.0,True,False
13,250000,2024-10-21 11:44:31,90000,415,0,1,hunter',,34.0,False,False
14,1459000,2024-11-12 11:01:11,10000,10,1,0,no hashtage,2 個人、紅心和文字的圖像.,12.0,False,True
15,570000,2024-11-10 15:58:50,6345,146,0,1,"viralreels ,instagood '",,14.0,False,False
16,7933,2024-10-31 11:14:15,38000,27,0,1,"winter ,winteraespa ,aespa ,aespawinter ,Spa ,smentertainment ,viral ,xhuong",,24.0,True,False
17,399000,2024-10-11 09:34:04,37000,176,0,1,no hashtage,,44.0,False,True
18,740000,2024-10-22 07:39:43,23000,137,0,1,no hashtage,,33.0,False,True
19,55000,2024-10-06 09:26:28,13000,117,0,1,"reels ,trendingreels ,viralreels ,instagram ,instagood ,music ,love ,sadsongs ,nowtrending ,instalike ,instamood ,fyp ,follow'",,49.0,False,False
20,364000,2024-10-23 20:34:44,1506,99,1,0,no hashtage,1 人的自拍照.,32.0,False,True
21,480000,2024-11-09 08:00:00,4283,29,1,0,"Masahiro Umeda ,Mariko Akama ,Yoshida Einen ,Keisuke Nishito ,Yu Ogawa ,Shigeru Osako ,Tomohiro Ikeda ,Sannanoichi ,Sannanoichi ,Ryotaro Kawaguchi ,Nishiyama Yoshiro ,Yuki Komasui ,Aputure ,BABE ,Masahiro's Nishitaka Life ,actor ,Short film ,Short film ,Koneko Film '",1 人、美妝、相機和文字的圖像.,15.0,True,False
22,103000,2024-11-06 07:45:24,1791,21,0,1,"capcut ,capcuttutorial ,viral ,trending",,18.0,True,False
23,41000,2024-11-07 13:40:49,49000,72,0,1,"Automation ,Technology ,Invention ,Machine ,CivilEngineering ,CivilEngineer ,Concrete ,Buildings ,Construction ,Building ,Engineer ,Engineering ,Architecture ,Architect ,ArchitectureLovers ,InteriorDesign ,EngenhariaCivil ,Columns ,ENGCIVIL ,Project ,Architecture ,Tools ,DIY ,DIYProjects ,Woodworking ,Diyhome ,Makers ,PowerTools'",,17.0,False,False
24,1187000,2024-11-02 19:00:41,339000,1267,0,1,"art ,fun ,smile ,amazing ,motivation ,design ,lifestyle ,handmade ,bestoftheday ,drawing ,home ,landscape ,video ,videos ,beautiful ,nature ,life ,viralvideos ,videooftheday ,reelsvideo ,funnyvideos ,viralvideo ,artofinstagram ,artgallery ,artwork ,arts'",,22.0,True,False
25,41000,2024-11-09 01:28:01,770,1,1,0,"Sellstagram ,selfie ,daily ,photodump'",1 人、毛髮、梳子、吹風機、熨斗、地毯和畚箕的圖像.,15.0,False,False
26,594000,2024-11-06 14:41:26,35000,71,1,0,PRFM ',3 個人和文字的圖像.,18.0,True,False
27,46000,2024-11-07 03:27:07,73000,260,0,1,no hashtage,,17.0,False,True
28,19000,2024-10-26 16:22:48,235,8,1,0,"otheryouphotography ,ahmedabad_instagram ,kutch ,Gujarat ,cured ,ahmedabad ,Gunjanting ,Pass through ,Gujujututes ,gujugotada ,sayings ,ahmedabad_instagram ,Gujarat ,Gujus ,ahmedabad ,gujaratiwedding ,kutch ,gujurocks ,Kathiawadi ,gujjugram ,trandez_f_kerla1 ,Chel 6 Cabilo ,Gujjujalaso ,otheryouphotography ,Navasari ,freak_of_kerala ,Gunjanting ,Mehsana ,bhuro ,cured ,shout ,shoutouter ,sayings ,botad ,Gunjanting ,Gujugotada ,Mehsana ,Kathiawadi ,Gujujalso ,kutch ,gappa ,gujaratiwedding ,mincessing ,otheryouphotography ,ahmedabad_instagram ,kutch ,Gujarat ,cured ,ahmedabad ,Gunjanting ,Pass through ,Gujujututes ,Gujugotada ,sayings ,ahmedabad_instagram ,gujarat ,Gujus ,ahmedabad ,gujaratiwedding ,kutch ,gujurocks ,Kathiawadi ,Gujjogram ,tg ,trandez_f_kerla1 ,Chel 6 Cabilo ,gujjujalso ,otheryouphotography ,Navsari '",文字的圖像.,29.0,True,False
29,413000,2024-10-27 13:49:23,30000,316,0,1,no hashtage,,28.0,False,True
30,132000,2024-11-07 11:19:27,885,6,1,0,"Stubborn ,Chen Peixian Jesslyn ,A Rong and Ayu '",1 人、毛髮、美妝和高領上衣的圖像.,17.0,False,False
31,14000,2024-10-22 13:29:30,2,5,0,1,"Thunder Love ,piscoband'",,33.0,False,False
32,29000,2024-11-11 23:06:39,1988,38,1,0,Character valve,豆腐、水煮蛋和文字的圖像.,13.0,True,False
33,57000,2024-10-22 13:40:41,1684,2,1,0,"JumperMedia ,JumperGrowthHacks ,SocialMediaTips ,FollowerGrowth ,TikTokification ,InstagramStrategy ,SocialMediaTrends ,DigitalMarketing ,ContentCreation ,ReelsMarketing ,SocialMediaEvolution ,InfluencerMarketing ,BrandStrategy ,VideoMarketing ,SocialMediaInsights'",電話、海報、雜誌和文字的 Twitter 截圖.,33.0,False,False
34,4023000,2024-10-05 01:01:37,264000,248,0,1,no hashtage,,50.0,False,True
35,6010,2024-11-07 11:00:30,75,0,1,0,Friends to cover ',1 人、箱子、項鍊、巴龍刀、背心和文字的圖像.,17.0,False,False
36,89000,2024-11-09 17:50:13,3190,32,0,1,"ORGCAMERZE 10. ,Play my style ,Golden engraving ,2024 Gold Carving Award ,You are you '",,15.0,False,False
37,386000,2024-11-12 03:18:00,202,19,1,0,no hashtage,日食／月食和文字的圖像.,12.0,False,True
38,20000,2024-10-18 12:50:23,733,0,1,0,"bar ,bar ,taipei ,Pass through ,Food culture '",文字的圖像.,37.0,False,False
39,507000,2024-10-20 06:56:50,1036000,641,0,1,no hashtage,,35.0,False,True
40,28000,2024-11-08 10:30:06,3097,39,1,0,no hashtage,1 人和文字的圖像.,16.0,False,True
41,103000,2024-11-07 23:33:45,2738,15,1,0,"Prototype ,Nutrition ,Drink ,dinner ,diabetes ,blood sugar ,Calories ,diet ,Nourishment ,breakfast ,Taichung ,parents ,Body Sculpture '",文字的圖像.,17.0,True,False
42,17000,2024-10-11 11:00:53,2062,15,0,1,"Taipei attraction ,post office",,44.0,True,False
43,364000,2024-10-23 20:34:44,1505,99,1,0,no hashtage,1 人的自拍照.,32.0,False,True
44,458000,2024-09-21 09:30:00,126000,142,0,1,"village ,Beach ,the fish '",,64.0,False,False
45,451000,2024-10-19 01:01:22,1724,33,0,1,"fishing ,shark ,sharkfishing ,beachfishing'",,36.0,False,False
46,480000,2024-11-11 08:01:34,1035,1,1,0,"V Point ,Numberless ,Zhouhei Handa ,Hiroyuki Mino ,Sannanoichi ,Ryotaro Kawaguchi ,Moe Hirao ,Yuki Komasui ,Aputure ,BABE'",1 人、上衣和文字的圖像.,13.0,True,False
47,41000,2024-11-11 03:50:26,463,1,1,0,no hashtage,魚和文字的插圖.,13.0,False,True
48,159000,2024-11-08 10:27:57,988,0,1,0,"What is the AI ​​in the world ,New feature AI song list is online ,Feed my music inspiration made me smarter '",文字的圖形.,16.0,False,False
49,16940000,2024-11-08 05:34:53,4,235,0,1,FallonTonight',,16.0,False,False
50,152000,2024-11-04 12:18:48,236000,273,0,1,no hashtage,,20.0,False,True
51,27000,2024-11-08 11:41:03,326000,207,0,1,fyp ',,16.0,False,False
52,1478000,2024-11-09 19:45:29,28000,1228,0,1,no hashtage,,15.0,False,True
53,52270000,2024-10-23 20:29:56,900000,558,0,1,no hashtage,,32.0,False,True
54,103000,2024-11-13 08:21:33,1446,59,1,0,"DAY6 ,Day Six ,DAY6_3RD_WORLDTOUR ,FOREVER_YOUNG ,LiveNationTaiwan'",4 個人、海報、音樂會和文字的圖像.,11.0,False,False
55,20000,2024-10-28 09:26:41,112,0,0,1,"Long hair ,Taipei perm ,Boys medium hair ,Transform ,Bombing ,Natural volume ,Japanese perm '",,27.0,True,False
56,434000,2024-10-18 10:34:41,629,9,1,0,no hashtage,,37.0,False,True
57,35000,2024-10-24 10:52:01,228,5,1,0,no hashtage,1 人和文字的圖像.,31.0,False,True
58,2106000,2024-11-07 10:48:52,153000,391,0,1,"Xinjiang ,gourmetfood ,interesting",,17.0,True,False
59,164000,2024-11-13 09:49:19,2,64,0,1,no hashtage,,11.0,False,True
60,4594000,2024-11-10 16:30:07,28000,192,1,0,no hashtage,1 人、海報、劍、雲和文字的圖像.,14.0,False,True
61,718000,2024-11-10 14:45:14,303,7,1,0,no hashtage,文字的圖像.,14.0,False,True
62,6203,2024-10-24 07:51:13,753,39,1,0,"motivation ,TeamAlpha ,alphamovement ,believeinyourself ,fitnessinspirations ,inspireothers ,gyminspiration ,gymlife ,gymmotivation ,gymgains ,workoutmotivation ,weighttraining ,weightlifting ,fitness ,fitnessinspirations ,fitfam ,Companion ,gym ,musclebuilding ,leanmuscle ,inspire ,inspiration ,inspirational ,motivate ,influence ,positivity '",1 人、鬍鬚、肱二頭肌、健美、無袖背心和文字的自拍照.,31.0,False,False
63,7865000,2024-11-04 06:30:55,118000,501,0,1,no hashtage,,20.0,False,True
64,169000,2024-10-26 17:03:04,32000,101,0,1,"trending ,viralreels ,reelsinstagram ,happiness ,instagood ,instadaily ,instalike ,diwalistatus ,diwalivibes ,diwali ,baitoj ,HAPPYBHAOJJJ ,Dhatraus ,Happy ,Happy ,Govardhan Puja ,happygowardhanpuja ,diwalistyle ,diwaliliteoffestivels ,happy ,festival ,trending ,reels'",,29.0,False,False
65,524000,2024-11-07 12:47:13,6437,68,1,0,no hashtage,5 個人、瀏海和文字的圖像.,17.0,False,True
66,11000,2024-10-04 08:41:47,67,0,1,0,no hashtage,西瓜、柚子、葡萄柚、甜瓜和文字的圖像.,51.0,False,True
67,764000,2024-10-22 06:09:51,436,11,1,0,no hashtage,雞肉三明治和炸薯條的圖像.,33.0,False,True
68,68000,2024-11-08 10:21:10,304000,488,0,1,"fyp ,funny ,funnyvideos ,reel ,trending ,viral ,challenge ,comedy'",,16.0,False,False
69,136000,2024-10-18 05:17:50,31000,145,0,1,no hashtage,,37.0,False,True
70,3466000,2024-11-04 17:43:40,66000,234,0,1,"moviescenes ,movies ,movielines ,movie ,movieaddict ,films ,movielovers ,thesolace ,moviescene ,moviequotes ,tvshow ,film ,movie laws ,movieworld ,movietime ,cinema ,hollywood ,movie buff ,moviefacts ,cinematography ,movienight ,quotes ,motivationalquotes ,tvseries ,moviestar ,Film maker ,quotesdaily ,quotesforyou ,quotestoremember ,filmphotography'",,20.0,False,False
71,13000,2024-11-11 16:16:45,199,5,0,1,"Taichung Food ,Taichung New opening ,Taichung New Store ,Taichung New Store Report ,Taichung kiln roasted pizza ,Kiln grilled pizza ,Principles ,Pizza ,Napoli ,Napo Pizza ,Napoli ,Napo Pizza ,Taichung Food Recommendation ,Taichung Food Map ,Taichung North District ,Taichung North District Food ,North District Food ,Taichung Italian Cooking ,Uncle Kiln Baked Pizza ,pizza ,pizzeria ,Qiu Duo Coffee ,似 颜 颜 ,Taichung Cafe ,linYu Taichung Eat ,Linyu North District eats and eats ,Lin Yan has been eating '",,13.0,False,False
72,49000,2024-11-11 11:30:00,79,0,1,0,"alwaysgood ,Overwind ,Always the best '",1 人、連帽風衣、上衣、高領上衣和文字的圖像.,13.0,False,False
